Group,Column,Description,Subgroups,Remove,Why_remove,Reviewed,Comments
Chronology,alternative_years,Few Hellenistic dates,,no,over 98% null values,yes,merge with other date info
Chronology,ancient_date,,,yes,over 98% null values,yes,just two entries
Chronology,ancient_day,,,yes,over 98% null values,yes,"one entry, info in other columns"
Chronology,ancient_month,,,yes,over 98% null values,yes,"one entry, info in other columns"
Chronology,ancient_year,Hellenistic year names,,no,,yes,
Chronology,astron_date,exact years 7th century,,no,over 98% null values,yes,
Chronology,century,151 texts categorized 8th century,,no,over 98% null values,yes,
Chronology,copy_period,,,yes,over 98% null values,yes,one entry
Chronology,date,"dates written in mixed, inconsistent formats",,no,,yes,
Chronology,date_bce,"years, Hellenistic",,no,,yes,
Chronology,date_comments,justification for dates based on regnal years / astronomical observations,,no,,yes,
Chronology,date_gen,dates in year-month-day formula (primarily),,no,,yes,
Chronology,date_of_origin,"dates written in mixed, inconsistent formats",,no,,yes,
Chronology,date_remarks,"dates written in mixed, inconsistent formats",,no,over 98% null values,yes,
Chronology,dates,dates written as king.year.month.day,,no,over 98% null values,yes,
Chronology,dates_referenced,dates written as king.year.month.day,,no,,yes,
Chronology,day,just the number of the day,,no,,yes,
Chronology,eponym,names of eponyms,,no,,yes,
Chronology,eponym_title,,,no,over 98% null values,yes,
Chronology,goal_year,Hellenistic year names,,no,over 98% null values,yes,
Chronology,has_date,comments on date and its preservation,,no,,yes,
Chronology,is_period_uncertain,,,yes,over 98% null values,yes,just seven entries
Chronology,long_date,full eponym date formula,,no,,yes,check if it can be removed if the information is in other columns
Chronology,long_date_gen,full eponym date formula,,no,,yes,check if it can be removed if the information is in other columns
Chronology,modern_converted_date,,,yes,over 98% null values,yes,one entry
Chronology,month,month numbers,,no,,yes,
Chronology,months_recorded,list of month (not date of text probably),,no,,yes,"check if its not date of text, if so can remove"
Chronology,period,broad categorizations of periods,,no,,yes,
Chronology,period_remarks,more broad periods with more verbal uncertainty included,,no,over 98% null values,yes,
Chronology,proposed_date,dates in varied structured formats,,no,,yes,
Chronology,regnal_dates,year ranges,,no,,yes,
Chronology,ruler,king names,,no,,yes,
Chronology,title_in_date,,,yes,over 98% null values,yes,one entry
Chronology,tradition,first millennium or nothing,,yes,Two variables that are irrelevant,yes,
Chronology,year,year numbers,,no,,yes,
Chronology,year_name_eponym,mostly king names,,no,over 98% null values,yes,
Composite Information,comp_wit,composite or witness,,yes,Two variables that are irrelevant,yes,"8 composites, 5051 witness, we can get this information from the P vs. Q numbers"
Composite Information,composite_no,Q numbers assigned to P number,,no,over 98% null values,yes,
Composite Information,composite_witness,,,yes,Two variables that are irrelevant,yes,
Composite Information,composites,Q numbers assigned to P number,,no,over 98% null values,yes,
