Project,Link,Project_Name,Languages,Is_Umbrella_Project,Is_Text_Folder_Empty,Last_Check
adsd: adsd/Astronomical Diaries and Related Texts,http://oracc.museum.upenn.edu/adsd,adsd,Akkadian,yes,yes,14/05/2025
adsd/adart1: adsd/Astronomical Diaries and Related Texts 1,http://oracc.museum.upenn.edu/adsd/adart1,adsd/adart1,Akkadian,no,no,14/05/2025
adsd/adart2: adsd/Astronomical Diaries and Related Texts 2,http://oracc.museum.upenn.edu/adsd/adart2,adsd/adart2,Akkadian,no,no,14/05/2025
adsd/adart3: adsd/Astronomical Diaries and Related Texts 3,http://oracc.museum.upenn.edu/adsd/adart3,adsd/adart3,Akkadian,no,no,14/05/2025
adsd/adart5: adsd/Astronomical Diaries and Related Texts 5,http://oracc.museum.upenn.edu/adsd/adart5,adsd/adart5,Akkadian,no,no,14/05/2025
adsd/adart6: adsd/Astronomical Diaries and Related Texts 6,http://oracc.museum.upenn.edu/adsd/adart6,adsd/adart6,Akkadian,no,no,14/05/2025
AEMW: Akkadian in the Eastern Mediterranean World,https://oracc.museum.upenn.edu/aemw,aemw,"Akkadian, Ugaritic",yes,no,14/05/2025
aemw/idrimi: Statue of Idrimi,http://oracc.museum.upenn.edu/aemw/alalakh/idrimi,aemw/alalakh/idrimi,Akkadian,no,no,14/05/2025
aemw/amarna: The Amarna Letters,http://oracc.museum.upenn.edu/aemw/amarna,aemw/amarna,Akkadian,no,no,14/05/2025
aemw/ugarit — AEMW Ugarit Corpus,https://oracc.museum.upenn.edu/aemw/ugarit/corpus,aemw/ugarit,"Akkadian, Ugaritic",no,no,14/05/2025
akklove — Akkadian Love Literature,https://oracc.museum.upenn.edu/akklove,akklove,Akkadian,no,no,14/05/2025
AMGG: Ancient Mesopotamian Gods and Goddesses,https://oracc.museum.upenn.edu/amgg,amgg,,no,yes,14/05/2025
ARIo: Achaemenid Royal Inscriptions online,http://oracc.museum.upenn.edu/ario,ario,"Akkadian, Old Persian, Elamite",no,no,14/05/2025
ARMEP: Ancient Records of Middle Eastern Polities,http://oracc.museum.upenn.edu/armep,armep,"Akkadian, Sumerian",yes,yes,14/05/2025
Digital Archive of the Annual Review of the Royal Inscriptions of Mesopotamia (1983-1991),https://oracc.museum.upenn.edu/arrim,arrim,None,no,yes,14/05/2025
AsbP: Ashurbanipal Library Project,https://oracc.museum.upenn.edu/asbp,asbp,Akkadian,yes,yes,14/05/2025
NinMed: The Nineveh Medical Encyclopaedia,http://oracc.museum.upenn.edu/asbp/ninmed,asbp/ninmed,Akkadian,no,no,14/05/2025
RLAsb: Reading the Library of Ashurbanipal project,http://oracc.museum.upenn.edu/asbp/rlasb,asbp/rlasb,Akkadian,no,no,14/05/2025
ATAE: Archival Texts of the Assyrian Empire,https://oracc.museum.upenn.edu/atae,atae,Akkadian,yes,yes,14/05/2025
ATAE: Assur: Neo-Assyrian Archival Texts from Assur,http://oracc.museum.upenn.edu/atae/assur,atae/assur,Akkadian,yes,yes,14/05/2025
ATAE: Assur Miscellanea,https://oracc.museum.upenn.edu/atae/assurmisc/,atae/assurmisc,Akkadian,no,no,14/05/2025
ATAE: Burmarina: Neo-Assyrian Archival Texts from Burmarina,http://oracc.museum.upenn.edu/atae/burmarina,atae/burmarina,Akkadian,no,no,14/05/2025
ATAE: The Nimrud Wine Lists,https://oracc.museum.upenn.edu/atae/ctn1/,atae/ctn1,Akkadian,no,no,14/05/2025
ATAE: The Governor's Palace Archive,https://oracc.museum.upenn.edu/atae/ctn2/,atae/ctn2,Akkadian,no,no,14/05/2025
ATAE: The Tablets from Fort Shalmaneser,https://oracc.museum.upenn.edu/atae/ctn3/,atae/ctn3,Akkadian,no,no,14/05/2025
