raw_provenience,normalized_city,pleiades_id,pleiades_title,lat,lon
***,Uncertain,- ,,,
Acharneh (Tunip),Tunip,668200,Asharne,35.2833333,36.4
Adab,Adab,787747618,Adab,31.9509002901,45.62333875145
Akhetaten (Mod. Amarna),el-Amarna,149576487,Amarna,27.644099597341675,30.89818203754354
Akhetaten (mod. el-Amarna),el-Amarna,149576487,Amarna,27.644099597341675,30.89818203754354
Akko,Akko,678010,Ake/Ptolemais,32.92128675,35.079835
Akšapa,Akšapa,?,,,
Alalakh,Alalakh,309866128,Alalaḫ,36.23807544872566,36.38383192027712
Alashiya,,,,,
Amarna,el-Amarna,149576487,Amarna,27.644099597341675,30.89818203754354
Amurru,Amurru,?,,,
Ana,Ana,893936,Anatho,34.4678,41.9794
Anaharat,Anaharat,?,,,
Antakya,Antakya,658381,Antiochia/Theoupolis,36.2225515,36.183214
Aqar Quf (Dur-Kurigalzu),Dur-Kurigalzu,893988,Dur-(Kuri)galzu,33.35607304048341,44.197416520972745
Arbela,Arbela,874341,Arbela/Arba-ilu,36.19131745320756,44.00938028561428
Arslan Tash,Arslan Tash,658399,Ballatha,36.8516655007633,38.40063987181522
Arslan Tash (Ḫadatu),Arslan Tash,658399,Ballatha,36.8516655007633,38.40063987181522
Arslantepe (Melidu),Melid,629040,Melitene,38.382217,38.361152
Arzawa,Arzawa,35475912,Arzawa,37.25504257927731,32.34844614570506
Ashara (Terqa),Terqa,894158,[Terqa]/Asicha?,34.9224178,40.56815636666667
Ashdod (Asdūdu),Ashdod,687843,Azotos Paralios,31.78042631529533,34.62164696402221
Ashkelon,Ashkelon,687839,Ashqelon/Ascalon,31.664797212161965,34.550521466715146
Ashur,Assur,893945,Ashur/‘Lamban’?/‘Liba(nai)’?,35.45557316179846,43.2613012875624
Assur,Assur,893945,Ashur/‘Lamban’?/‘Liba(nai)’?,35.45557316179846,43.2613012875624
Assur (mod. Qalat Sherqat),Assur,893945,Ashur/‘Lamban’?/‘Liba(nai)’?,35.45557316179846,43.2613012875624
Assur; Nineveh; Babylon; Sippar; Uruk,,,,,
Assyria,,,,,
"Assyria, unknown",,,,,
Atmannu (mod. Tell Ali),Tell 'Ali,532748466,Tell 'Ali,35.381955000000005,43.6816975
Aššur (mod. Qalʿat Sherqat),Assur,893945,Ashur/‘Lamban’?/‘Liba(nai)’?,35.45557316179846,43.2613012875624
Babil,Babylon,893951,Babylon,32.53729695,44.42497815
Babylon,Babylon,893951,Babylon,32.53729695,44.42497815
Babylon (?),Babylon,893951,Babylon,32.53729695,44.42497815
Babylon (Bābili),Babylon,893951,Babylon,32.53729695,44.42497815
Babylon or Borsippa,,,,,
"Babylon, Ashur, Sippar",,,,,
Babylonia,,,,,
"Babylonia, unknown",,,,,
Bad-Tibira,Bad-Tibira,771224406,Patibīri,31.383256449999998,46.004124899999994
Balawat (Imgur-Enlil),Balāwāt,924247288,Balāwāt,36.2294,43.4033
Bavian,Bavian,874398,Bavian/Khinnis,36.76058565,43.419754100000006
Beirut,Beirut,678060,Beirut,33.898593500000004,35.511241
Beisan,Beisan,421715028,Baysān,36.4223195,43.10393845
Ben Shemen,Ben Shemen,413309736,Ben Shemen Forest,31.94454115,34.94298475
"Ben Shemen, Israel",Ben Shemen,413309736,Ben Shemen Forest,31.94454115,34.94298475
Birs Nimrud (Borsippa),Borsippa,893964,Borsippa/Burs,32.3924,44.3434
Bisutun,Bisutun,903002,Bisutun/Bagistana/Vastan?/Baptana,34.3881,47.4318
Boghazkoi,Hattusa,283602441,Hattusa,40.01491320970003,34.617157622536865
Borsippa,Borsippa,893964,Borsippa/Burs,32.3924,44.3434
Borsippa (mod. Birs Nimrud),Borsippa,893964,Borsippa/Burs,32.3924,44.3434
Bost,Bost,124319309,Bostankaya,39.2033391,42.65617195
Brissa,Brissa,809004346,Nebuchadnezzar II Inscriptions near Brissa,34.430959,36.3115835
Byblos,Byblos,668216,Byblos,34.11924879240043,35.64612465977221
Byblos (Gubla),Byblos,668216,Byblos,34.11924879240043,35.64612465977221
Bābili (mod. Babylon),Babylon,893951,Babylon,32.53729695,44.42497815
Carchemish,Carchemish,658465,Carchemish,36.829422953272655,38.014920519720285
Cave Kalm-karra,Kalmākarra,764638887,Kalmākarrah Cave,33.1998,47.601
"Cave Kalmākarra, north of Pol-e Dohtar near Horramabad",Kalmākarra,764638887,Kalmākarrah Cave,33.1998,47.601
